Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Looped Circuit","SKRY","Acid Pirate 01","Ravy ","Playlist","FR9W11825103","4WLBkyXpkhF1BOR7firc6d"
"Iluminan","Creeds","Iluminan","Ravy ","Playlist","FXQ692100309","0Oxs5N3Pteae5xobtjuuxc"
"CHORMA","MILES","CHORMA","Ravy ","Playlist","ITUM72301104","78sIUhDEOuD5mpSr1zwDwg"
"Get Lekt","Gehlektek","Acid Pirate 10","Ravy ","Playlist","FXQ692000017","5pqVu1TDJWWKBJzMuinaTJ"
"Au Ké de la Core","KT-KLIZM","Albatar au Pays de la Teuf","Ravy ","Playlist","GBSMU6877354","7igZwLhKDvczYv1QumNPVX"
"Feel Good Inc.","Tic-Tekk-Toe","Feel Good Inc.","Ravy ","Playlist","GX89G2462371","3mlzShCb7bqUGbMSb8oeMh"
"Old School as Fuck 1","Mad Alien","Old School as Fuck 1","Ravy ","Playlist","FXQ692100350","4bbKqgGgySr3xFAYXa1XcW"
"A Otros","CO&XIST","A Otros","Ravy ","Playlist","QZHN32129664","7z1Mb3xIzrrJH0YFIYxY8S"
"Flew over the Beat","Teksa","Flew over the Beat","Ravy ","Playlist","FR9W12006726","5aa84PckXyv39SAZFubsXH"
"m00nquake","Sköne","m00nquake","Ravy ","Playlist","QZHNC2282326","5jrgaNJgeBRnMFUVxOyswR"
"Break My Heart","B.UNQ!","Break My Heart","Ravy ","Playlist","FXQ692300236","5QnOLvifNVLNasWc4ahfZP"
"Générations","Sköne","Outre-Acid","Ravy ","Playlist","QZHN32127247","0vlYmeolmAWluXfdPZskor"
"Alakazam","Sköne","Alakazam","Ravy ","Playlist","QZES92120083","6JNJJ3Zq6ZufBG1D2tgb3s"
"Monica Makes Boyz Cry","Krl Mx","Shifter Pro","Ravy ","Playlist","FRX282152652","22PXV2K4eqi9ViR6tJ8uO9"
